name,ingredient,weight
간장비빔국수,"설탕, 백설탕",3.45
간장비빔국수,"간장, 개량, 양조",3.45
간장비빔국수,"파, 쪽파, 생것",3.45
간장비빔국수,참기름,1.15
간장비빔국수,"호박, 애호박, 생것",17.25
간장비빔국수,"당근, 뿌리, 생것",17.25
간장비빔국수,"양파, 생것",17.25
간장비빔국수,"국수, 생것",46.0
(참깨제외)간장비빔국수,"설탕, 백설탕",3.45
(참깨제외)간장비빔국수,"간장, 개량, 양조",3.45
(참깨제외)간장비빔국수,"파, 쪽파, 생것",3.45
(참깨제외)간장비빔국수,"호박, 애호박, 생것",17.25
(참깨제외)간장비빔국수,"당근, 뿌리, 생것",17.25
(참깨제외)간장비빔국수,"양파, 생것",17.25
(참깨제외)간장비빔국수,"국수, 생것",46.0
감자수제비,"감자, 대지, 생것",23.0
감자수제비,"양파, 생것",5.75
감자수제비,"파, 대파, 생것",3.45
감자수제비,"멸치, 대멸치, 삶아서 말린것",2.3
감자수제비,"호박, 애호박, 생것",5.75
감자수제비,"다시마, 말린것",0.575
감자수제비,소금,0.345
감자수제비,"당근, 뿌리, 생것",3.45
감자수제비,"밀, 중력밀가루",46.0
(밀제외)감자수제비,"감자, 대지, 생것",23.0
(밀제외)감자수제비,"양파, 생것",5.75
(밀제외)감자수제비,"파, 대파, 생것",3.45
(밀제외)감자수제비,"멸치, 대멸치, 삶아서 말린것",2.3
(밀제외)감자수제비,"호박, 애호박, 생것",5.75
(밀제외)감자수제비,"다시마, 말린것",0.575
(밀제외)감자수제비,소금,0.345
(밀제외)감자수제비,"당근, 뿌리, 생것",3.45
(밀제외)감자수제비,"전분, 감자, 가루",46.0
게살된장우동,게맛살,23.0
게살된장우동,"국수, 우동, 생것",92.0
게살된장우동,"된장, 개량",2.3
게살된장우동,"간장, 개량, 양조",1.15
게살된장우동,가다랑어 육수,11.5
게살된장우동,"멸치, 대멸치, 삶아서 말린것",1.725
게살된장우동,"무, 조선무, 생것",17.25
게살된장우동,"파, 대파, 생것",2.3
국수,"국수, 소면, 말린것",46.0
국수,"호박, 애호박, 생것",17.25
국수,"달걀, 생것",2.875
국수,"당근, 뿌리, 생것",17.25
국수,"양파, 생것",17.25
국수,"소고기, 한우, 등심, 생것",17.25
국수,"김, 참김, 말린것",0.23
국수,"무, 조선무, 생것",2.3
국수,"멸치, 대멸치, 삶아서 말린것",2.3
국수,"다시마, 생것",0.575
국수,"간장, 개량, 양조",2.3
국수,"깨소금, 가루, 볶은것",0.23
국수,참기름,0.23
"(달걀,참깨제외)국수","국수, 소면, 말린것",46.0
"(달걀,참깨제외)국수","호박, 애호박, 생것",17.25
"(달걀,참깨제외)국수","당근, 뿌리, 생것",17.25
"(달걀,참깨제외)국수","양파, 생것",17.25
"(달걀,참깨제외)국수","소고기, 한우, 등심, 생것",17.25
"(달걀,참깨제외)국수","김, 참김, 말린것",0.23
"(달걀,참깨제외)국수","무, 조선무, 생것",2.3
"(달걀,참깨제외)국수","멸치, 대멸치, 삶아서 말린것",2.3
"(달걀,참깨제외)국수","다시마, 생것",0.575
"(달걀,참깨제외)국수","간장, 개량, 양조",2.3
김치우동,"국수, 우동, 생것",92.0
김치우동,"김치, 배추 김치",23.0
김치우동,"무, 조선무, 생것",11.5
김치우동,"양파, 생것",11.5
김치우동,"당근, 뿌리, 생것",5.75
김치우동,"파, 대파, 생것",5.75
김치우동,"표고버섯, 참나무재배, 생것",3.45
김치우동,"멸치, 대멸치, 삶아서 말린것",5.75
김치우동,"간장, 개량, 양조",2.3
김치우동,소금,0.23
김치해물칼국수,"국수, 칼국수, 생것",92.0
김치해물칼국수,"김치, 배추 김치",23.0
김치해물칼국수,"당근, 뿌리, 생것",11.5
김치해물칼국수,"마늘, 깐마늘, 생것",2.3
김치해물칼국수,"양파, 생것",17.25
김치해물칼국수,"파, 대파, 생것",5.75
김치해물칼국수,"새우, 꽃새우, 생것",11.5
김치해물칼국수,"홍합, 생것",11.5
김치해물칼국수,"바지락, 생것",11.5
김치해물칼국수,유채씨기름,0.575
깻잎비빔국수,"국수, 소면, 말린것",69.0
깻잎비빔국수,"들깻잎, 생것",5.75
깻잎비빔국수,"오이, 취청, 생것",5.75
깻잎비빔국수,"양배추, 생것",5.75
깻잎비빔국수,"파인애플, 생것",3.45
깻잎비빔국수,"사과, 부사(후지), 생것",3.45
깻잎비빔국수,"고추장, 개량",1.725
깻잎비빔국수,"식초, 양조",2.3
깻잎비빔국수,참기름,1.725
깻잎비빔국수,"참깨, 검정깨, 볶은것",0.23
(우유제외)냉콩국+소면,"콩(대두), 노란콩, 말린것",11.5
(우유제외)냉콩국+소면,"토마토, 방울토마토, 생것",17.25
(우유제외)냉콩국+소면,"파, 쪽파, 생것",1.725
(우유제외)냉콩국+소면,"오이, 취청, 생것",23.0
