name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,β-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Vitamin D,Linoleic Acid,Alpha-Linolenic Acid,snack,rice,special,soup,kimchi,side_dish,side_dish1,side_dish2,empty,밀,쌀,메밀,감자,대두,땅콩,들깨,참깨,씨앗,돼지,오리,닭,기타가금류,소,난류,우유,붉은살생선,흰살생선,기타,장어,멸치,게,새우,가재,"조개,꼬막",굴,"홍합,담치",오징어,문어,낙지,고둥,소라,전복,오이,마늘,샐러리,당근,브로콜리,양파,겨자,후추,토마토,체리,자두,키위,바나나,사과,배,코코넛,복숭아,메론,수박,시트러스,망고,아황산류,견과류,땅콩+견과류,other
간장비빔국수,109.25,175.835,4.23476,1.59551,35.060165,2.10105,19.274,0.478745,351.417,0.0,1028.882,85.74016667,0.0471155,0.10879,3.01323,0.0,713.98256,29.51843,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)간장비빔국수,108.1,165.2895,4.23476,0.450225,35.058555,2.10105,18.7795,0.45862,351.233,0.0,1028.7555,85.72962501,0.0471155,0.107985,3.01323,0.0,235.338185,23.376625,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
감자수제비,90.62,200.169,6.83813,0.62261,40.070485,2.2494,65.504,0.85077,185.53065,0.0,218.8105,18.23420833,0.099636,0.032982,3.34259,0.02944,260.308595,20.32395,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(밀제외)감자수제비,90.62,181.309,2.11393,0.16721,42.858085,1.0074,59.524,0.55637,195.19065,0.0,218.8105,18.23420833,0.025576,0.021942,3.26439,0.02944,10.730995,5.12555,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
게살된장우동,151.225,191.544,7.0417375,1.3762625,36.11506,1.98375,102.258,0.82409,521.755,0.0,6.716,0.559666667,0.119554,0.067758,1.573775,0.02208,424.799075,21.208185,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
국수,126.04,254.15,10.0671,5.8703245,38.4141745,2.1712,74.82705,1.36298,767.7515,8.395,1054.7018,96.28681667,0.0865145,0.18410925,2.859475,0.630315,540.9178525,32.669361,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(달걀,참깨제외)국수",122.705,246.6635,9.66782,5.29897,38.284305,2.1712,70.42025,1.263505,763.94845,4.485,1054.6765,92.37470834,0.083099,0.1701425,2.859475,0.02944,413.72239,30.74525,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
김치우동,161.23,185.495,7.422675,1.554225,33.993195,2.35865,151.984,1.20865,499.5071,0.0,398.1875,33.18229167,0.1289495,0.084502,3.658725,0.0736,434.1273,22.801625,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
김치해물칼국수,186.875,333.109,13.07504,1.9296425,62.628885,2.39315,54.04425,2.3936675,401.48225,3.45,715.2425,63.05354167,0.0795225,0.1112855,4.290075,0.0,554.96355,94.0666075,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
깻잎비빔국수,99.13,285.0252,7.702884,2.7783425,54.710261,2.20524,39.6313,0.767211,922.8773,0.0,509.3051,42.44209167,0.11389715,0.10148405,3.219655,0.0,1243.253684,52.6048985,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
