0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,allergy
밤밥,미니새우튀김우동,마늘쫑무침,고구마밥,어묵맑은국,매생이육전,고구마줄기볶음,나박김치,쌀밥,새우살미역국,토마토치즈샐러드,양배추샐러드(참깨드레싱),백김치,율무밥,갈비탕+당면,두절건새우마늘종조림,고구마밥,돼지고기김치찌개,삼색채소달걀말이,고구마줄기볶음,나박김치,쌀밥,새우살미역국,닭살케첩볶음,양배추나물,깍두기,"우유,밀,땅콩+견과류"
밤찹쌀팥밥,감자탕,순살닭볶음탕,쌀밥,바지락된장국,참나물볶음,코다리엿장조림,나박김치,수수밥,팥죽,장산적조림,갈치카레튀김,파김치,찹쌀현미밥,감자채맑은국,순살닭볶음탕,쌀밥,바지락국,간장코다리강정,참나물볶음,나박김치,수수밥,(소고기제외)당면양배추국,소고기산적,브로콜리새우볶음,백김치,"난류,밀,대두,땅콩+견과류"
콩밥,떡국떡미역국,팽이버섯나물,두부카레라이스,두부대합탕국,느타리버섯당근볶음,애호박볶음,비트초절이,율무밥,애호박두부된장국,empty,감자그라탕,나박김치,콩밥,떡국떡미역국,팽이버섯나물,삼색나물비빔밥,바지락맑은국,닭봉조림,애호박볶음,깍두기,율무밥,김치유부맑은국,소고기찹스테이크,치즈감자조림,나박김치,"난류,밀"
보리밥,미역만두국,양념가지찜,돼지고기양배추덮밥,느타리버섯국,오이토마토샐러드(발사믹드레싱),매콤콩나물무침,나박김치,밤찹쌀팥밥,만두닭개장,empty,애호박볶음,깻잎김치,기장밥,소고기미역국,양념가지찜,돼지고기잡채덮밥,느타리버섯국,들깨무나물,오이토마토샐러드(발사믹드레싱),백김치,찹쌀현미밥,(저염)닭곰탕,오징어간장조림,애호박볶음,깍두기,"난류,우유,대두,땅콩+견과류"
고구마밥,팥죽,마늘종볶음,찹쌀밥,만두순두부찌개,양배추콘샐러드,과일땅콩샐러드,단무지,흑미밥,감자양파국,브로콜리나물,empty,열무김치,고구마밥,소고기콩나물국,두절건새우마늘종조림,찹쌀밥,만두순두부찌개,너비아니구이,양배추나물,깍두기,흑미밥,감자양파국,돼지갈비찜,브로콜리나물,백김치,"우유,땅콩+견과류"
옥수수밥,토마토감자국,해물완자전,소고기주먹밥,유부장국,브로콜리견과류볶음,감자버터구이,비트초절이,완두콩밥,감자국,돼지고기구이,얼갈이나물,단무지,옥수수밥,맑은건새우감자국,고등어구이,소고기주먹밥,맑은단배추국,브로콜리숙회,감자튀김,비트초절이,완두콩밥,감자국,돼지고기수육,얼갈이나물,깍두기,"난류,우유,밀,땅콩+견과류"
밤찹쌀팥밥,감자탕,메추리알고구마조림,가지채소볶음밥,감자국,열무볶음,해물김치전,열무물김치,밤콩밥,콩가루열무된장국,닭살양배추볶음,미나리초무침,파김치,찹쌀현미밥,감자탕,어묵고구마조림,가지채소볶음밥,열무맑은국,감자부추전,푸실리샐러드,깍두기,밤콩밥,콩가루냉이된장국,닭살양배추볶음,사과미나리무침,열무김치,"난류,땅콩+견과류"
가지채소볶음밥,소고기콩나물국,메추리알고구마조림,밤콩밥,애호박두부젓국,주꾸미채소볶음,미나리초무침,나박김치,밤찹쌀팥밥,감자탕,해물김치전,근대나물무침,총각김치,가지채소볶음밥,소고기콩나물국,블루베리고구마샐러드,쌀밥,애호박두부젓국,주꾸미채소볶음,숙주나물,깍두기,수수밥,감자탕,간장해물찜,근대나물무침,백김치,"난류,밀,땅콩+견과류"
찹쌀밥,느타리버섯국,가지무침,소고기굴소스볶음밥,만두국,우엉채곤약조림,채소크로켓,나박김치,팥밥,게살스프,애호박건새우볶음,empty,총각김치,찹쌀현미밥,느타리버섯국,돼지고기가지볶음,소고기볶음밥,재첩국,우엉조랭이떡조림,empty,백김치,차조밥,미역북어국,돼지갈비고구마찜,애호박건새우볶음,깍두기,"난류,밀,대두"
옥수수밥,사골당면국,새우살달걀찜,찹쌀밥,두부전골,주꾸미채소간장볶음,애호박볶음,석박지,과일카레라이스,아욱맑은국,참치채소볶음,배무생채,열무물김치,옥수수밥,돼지사골국,새우살달걀찜,찹쌀현미밥,황태달걀국,주꾸미채소간장볶음,애호박나물,석박지,오므라이스,아욱맑은국,새우채소볶음,배무생채,열무김치,"우유,밀,대두"
